ON Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Dispersed/Arrival Date
ON.205,89.0,20.0,0.0,0.0,0.0,0.0,519848.0,0.0,1943-10-05,1943-10-23
ON.206,86.0,18.0,0.0,0.0,0.0,0.0,482171.0,0.0,1943-10-11,1943-10-27
ON.207,102.0,34.0,0.0,0.0,0.0,0.0,494376.0,0.0,1943-10-18,1943-11-04
ON.208,64.0,23.0,0.0,0.0,0.0,0.0,293792.0,0.0,1943-10-24,1943-11-07
ON.209,78.0,19.0,1.0,0.0,0.0,0.0,403669.0,0.0,1943-10-31,1943-11-17
ON.210,62.0,19.0,2.0,0.0,0.0,0.0,309506.0,0.0,1943-11-06,1943-11-23
ON.211,70.0,18.0,0.0,0.0,0.0,0.0,376031.0,0.0,1943-11-13,1943-11-29
ON.212,75.0,20.0,0.0,0.0,0.0,0.0,397123.0,0.0,1943-11-19,1943-12-05
ON.213,78.0,17.0,0.0,0.0,0.0,0.0,430702.0,0.0,1943-11-26,1943-12-14
ON.214,71.0,21.0,0.0,0.0,0.0,0.0,371235.0,0.0,1943-12-02,1943-12-20
ON.215,75.0,17.0,0.0,0.0,0.0,0.0,417177.0,0.0,1943-12-09,1943-12-28
ON.216,65.0,19.0,0.0,0.0,0.0,0.0,329120.0,0.0,1943-12-16,1944-01-03
ON.217,97.0,15.0,0.0,1.0,0.0,0.0,570515.0,7359.0,1943-12-24,1944-01-10
ON.218,64.0,21.0,0.0,0.0,0.0,0.0,321434.0,0.0,1943-12-31,1944-01-18
ON.219,85.0,21.0,1.0,1.0,0.0,1.0,446101.0,7176.0,1944-01-08,1944-01-27
ON.220,84.0,25.0,1.0,0.0,0.0,0.0,401143.0,0.0,1944-01-15,1944-02-04
ON.221,106.0,32.0,0.0,0.0,0.0,0.0,518238.0,0.0,1944-01-24,1944-02-11
ON.222,81.0,30.0,1.0,0.0,0.0,0.0,370715.0,0.0,1944-01-30,1944-02-16
ON.223,82.0,24.0,0.0,0.0,0.0,0.0,400450.0,0.0,1944-02-07,1944-02-24
ON.224,114.0,34.0,0.0,1.0,1.0,0.0,576333.0,1300.0,1944-02-14,1944-03-02
ON.225,76.0,18.0,0.0,0.0,0.0,0.0,434510.0,0.0,1944-02-22,1944-03-08
ON.226,89.0,17.0,0.0,0.0,0.0,0.0,514266.0,0.0,1944-02-29,1944-03-15
ON.227,82.0,18.0,0.0,0.0,0.0,0.0,446798.0,0.0,1944-03-08,1944-03-22
ON.228,93.0,24.0,0.0,0.0,0.0,0.0,476932.0,0.0,1944-03-15,1944-04-01
ON.229,81.0,22.0,0.0,0.0,0.0,0.0,408116.0,0.0,1944-03-23,1944-04-07
ON.230,82.0,16.0,0.0,0.0,0.0,0.0,475186.0,0.0,1944-03-30,1944-04-17
ON.231,106.0,18.0,0.0,0.0,0.0,0.0,650308.0,0.0,1944-04-07,1944-04-24
ON.232,63.0,19.0,0.0,0.0,0.0,0.0,325491.0,0.0,1944-04-13,1944-04-29
ON.233,130.0,23.0,0.0,0.0,0.0,0.0,718412.0,0.0,1944-04-20,1944-05-08
ON.234,91.0,18.0,0.0,0.0,0.0,0.0,516040.0,0.0,1944-04-26,1944-05-12
ON.235,79.0,15.0,1.0,0.0,0.0,0.0,455381.0,0.0,1944-05-04,1944-05-18
ON.236,129.0,18.0,0.0,0.0,0.0,0.0,729199.0,0.0,1944-05-11,1944-05-27
ON.237,78.0,16.0,0.0,0.0,0.0,0.0,439297.0,0.0,1944-05-19,1944-06-03
ON.238,82.0,19.0,0.0,0.0,0.0,0.0,453270.0,0.0,1944-05-26,1944-06-09
ON.239,111.0,15.0,0.0,0.0,0.0,0.0,594064.0,0.0,1944-06-03,1944-06-22
ON.240,104.0,22.0,0.0,0.0,0.0,0.0,598385.0,0.0,1944-06-10,1944-06-28
ON.241,110.0,17.0,0.0,0.0,0.0,0.0,664344.0,0.0,1944-06-18,1944-07-02
ON.242,112.0,18.0,0.0,0.0,0.0,0.0,598708.0,0.0,1944-06-25,1944-07-11
ON.243,110.0,20.0,0.0,0.0,0.0,0.0,632791.0,0.0,1944-07-03,1944-07-18
ON.244,73.0,18.0,0.0,0.0,0.0,0.0,410625.0,0.0,1944-07-10,1944-07-23
ON.245,118.0,19.0,0.0,0.0,0.0,0.0,661359.0,0.0,1944-07-18,1944-08-02
ON.246,125.0,18.0,0.0,0.0,0.0,0.0,758931.0,0.0,1944-07-25,1944-08-09
ON.247,106.0,19.0,1.0,0.0,0.0,0.0,607108.0,0.0,1944-08-02,1944-08-15
ON.248F,58.0,6.0,0.0,0.0,0.0,0.0,388727.0,0.0,1944-08-06,1944-08-20
ON.248S,122.0,20.0,0.0,0.0,0.0,0.0,605455.0,0.0,1944-08-10,1944-08-27
ON.249,171.0,19.0,0.0,0.0,0.0,0.0,1062596.0,0.0,1944-08-18,1944-09-02
ON.250,90.0,16.0,0.0,0.0,0.0,0.0,546019.0,0.0,1944-08-24,1944-09-07
ON.251,160.0,19.0,0.0,1.0,0.0,0.0,888682.0,4115.0,1944-09-01,1944-09-19
ON.252,100.0,18.0,0.0,0.0,0.0,0.0,578410.0,0.0,1944-09-07,1944-09-22
ON.253,98.0,37.0,0.0,0.0,0.0,0.0,453665.0,0.0,1944-09-13,1944-09-28
ON.254,107.0,23.0,0.0,0.0,0.0,0.0,489116.0,0.0,1944-09-16,1944-10-05
ON.255,100.0,19.0,0.0,0.0,0.0,0.0,575992.0,0.0,1944-09-22,1944-10-09
ON.256,93.0,19.0,0.0,0.0,0.0,0.0,538639.0,0.0,1944-09-28,1944-10-12
