,Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrival/Dispersal Date,Overall Sink Percentage,Escort Sink Percentage,Straggler Sink Percentage
454,OB.284,40.0,6.0,0.0,1.0,0.0,0.0,153860.0,5462.0,1941-02-01,1941-02-05,2.5,0.0,0.0
632,HX.107,37.0,9.0,5.0,4.0,0.0,4.0,186643.0,28771.0,1941-02-03,1941-02-28,10.81081081081080,0.0,80.0
457,OB.287,51.0,7.0,0.0,1.0,0.0,0.0,268558.0,6999.0,1941-02-09,1941-02-14,1.9607843137254900,0.0,0.0
458,OB.288,52.0,6.0,1.0,9.0,0.0,1.0,214324.0,38604.0,1941-02-11,1941-02-17,17.307692307692300,0.0,100.0
634,HX.109,48.0,10.0,4.0,3.0,0.0,1.0,218309.0,22907.0,1941-02-13,1941-03-04,6.25,0.0,25.0
459,OB.289,34.0,7.0,0.0,3.0,0.0,0.0,164867.0,15581.0,1941-02-13,1941-02-17,8.823529411764710,0.0,0.0
460,OB.290,47.0,7.0,0.0,3.0,0.0,0.0,228247.0,12087.0,1941-02-16,1941-02-21,6.382978723404260,0.0,0.0
462,OB.292,45.0,7.0,0.0,1.0,0.0,0.0,198220.0,7383.0,1941-02-20,1941-02-24,2.2222222222222200,0.0,0.0
463,OB.293,44.0,6.0,0.0,3.0,0.0,0.0,236392.0,32464.0,1941-02-23,1941-02-27,6.8181818181818200,0.0,0.0
23,SC.24,36.0,8.0,1.0,1.0,0.0,1.0,113573.0,5759.0,1941-02-28,1941-03-19,2.7777777777777800,0.0,100.0
637,HX.112,54.0,12.0,8.0,5.0,0.0,0.0,260899.0,37226.0,1941-03-01,1941-03-20,9.25925925925926,0.0,0.0
466,OB.296,47.0,7.0,0.0,1.0,0.0,0.0,189538.0,2697.0,1941-03-02,1941-03-08,2.127659574468090,0.0,0.0
24,SC.25,49.0,10.0,1.0,1.0,0.0,1.0,168101.0,6695.0,1941-03-10,1941-03-29,2.0408163265306100,0.0,100.0
640,HX.115,46.0,13.0,0.0,3.0,0.0,0.0,202522.0,12945.0,1941-03-17,1941-04-03,6.521739130434780,0.0,0.0
472,OB.302,42.0,10.0,0.0,2.0,0.0,0.0,174429.0,5510.0,1941-03-19,1941-03-25,4.761904761904760,0.0,0.0
