OB Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Dispersed_Date
OB.253,40,4,0,0,0,0,210561,0,1940-12-02,1940-12-06
OB.254,37,6,0,0,0,0,164818,0,1940-12-04,1940-12-08
OB.255,27,7,0,0,0,0,122057,0,1940-12-07,1940-12-10
OB.256,39,6,0,2,0,0,137679,7050,1940-12-08,1940-12-12
OB.257,44,7,0,0,0,0,222700,0,1940-12-10,1940-12-13
OB.258,19,6,1,0,0,0,74632,0,1940-12-12,1940-12-15
OB.259,40,7,0,0,0,0,202401,0,1940-12-14,1940-12-17
OB.260,34,5,0,1,0,0,137485,6078,1940-12-16,1940-12-19
OB.261,45,5,0,1,0,0,225091,6579,1940-12-19,1940-12-22
OB.262,44,8,0,0,0,0,185422,0,1940-12-20,1940-12-23
OB.263,35,6,0,0,0,0,155720,0,1940-12-23,1940-12-27
OB.264,34,6,0,0,0,0,103703,0,1940-12-24,1940-12-29
OB.265,42,6,0,0,0,0,203398,0,1940-12-26,1940-12-30
OB.266,32,10,0,0,0,0,124026,0,1940-12-28,1941-01-01
OB.267,30,6,2,0,0,0,117743,0,1940-12-30,1941-01-02
OB.268,39,6,0,0,0,0,169672,0,1941-01-01,1941-01-04
OB.269,34,8,1,1,0,1,144324,5965,1941-01-03,1941-01-06
OB.270,23,7,0,0,0,0,97472,0,1941-01-05,1941-01-08
OB.271,29,7,0,0,0,0,125350,0,1941-01-08,1941-01-12
OB.272,34,6,0,0,0,0,148124,0,1941-01-10,1941-01-14
OB.273,37,7,0,0,0,0,178841,0,1941-01-12,1941-01-16
OB.274,47,7,0,0,0,0,227370,0,1941-01-14,1941-01-19
OB.275,45,8,0,0,0,0,221029,0,1941-01-18,1941-01-23
OB.276,37,8,1,1,0,1,119691,1570,1941-01-20,1941-01-25
OB.277,30,6,1,0,0,0,132375,0,1941-01-22,1941-01-27
