HX Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrive_Date
HX.240,80,26,0,0,0,0,410955,0,1943-05-19,1943-06-04
HX.241,67,23,0,0,0,0,345528,0,1943-05-25,1943-06-10
HX.242,93,29,0,0,0,0,495818,0,1943-05-31,1943-06-15
HX.243,99,22,0,0,0,0,516750,0,1943-06-07,1943-06-21
HX.244,113,24,0,0,0,0,637031,0,1943-06-15,1943-06-30
HX.245,109,22,0,0,0,0,657102,0,1943-06-23,1943-07-07
HX.246,83,19,0,0,0,0,490482,0,1943-06-30,1943-07-14
HX.247,98,25,0,0,0,0,542823,0,1943-07-08,1943-07-22
HX.248,106,19,0,0,0,0,642520,0,1943-07-15,1943-07-29
HX.249,87,20,0,0,0,0,476147,0,1943-07-23,1943-08-06
HX.250,99,25,0,0,0,0,548891,0,1943-07-30,1943-08-12
HX.251,108,23,0,0,0,0,656205,0,1943-08-07,1943-08-23
HX.252,74,19,0,0,0,0,410031,0,1943-08-14,1943-08-28
HX.253,74,18,0,0,0,0,411206,0,1943-08-20,1943-09-04
HX.254,101,21,0,0,0,0,613956,0,1943-08-27,1943-09-12
HX.255,75,19,0,0,0,0,393396,0,1943-09-02,1943-09-16
HX.256,82,21,0,0,0,0,464180,0,1943-09-09,1943-09-21
HX.257,101,23,0,0,0,0,584151,0,1943-09-16,1943-09-30
HX.258,90,27,0,0,0,0,450887,0,1943-09-22,1943-10-06
HX.259,64,17,0,0,0,0,364581,0,1943-09-28,1943-10-13
HX.260,84,25,0,0,0,0,424964,0,1943-10-05,1943-10-20
HX.261,88,21,0,0,0,0,456357,0,1943-10-11,1943-10-26
HX.262,86,23,0,0,0,0,456576,0,1943-10-18,1943-11-02
HX.263,72,26,0,0,0,0,334813,0,1943-10-24,1943-11-08
HX.264,91,29,0,0,0,0,484069,0,1943-10-31,1943-11-17
HX.265,86,35,0,0,0,0,367056,0,1943-11-06,1943-11-21
HX.266,95,21,0,0,0,0,563802,0,1943-11-13,1943-11-27
HX.267,80,21,0,0,0,0,440810,0,1943-11-19,1943-12-03
HX.268,74,21,0,0,0,0,369309,0,1943-11-26,1943-12-11
HX.269,71,25,1,0,0,0,304644,0,1943-12-02,1943-12-16
HX.270,88,19,0,0,0,0,490617,0,1943-12-10,1943-12-26
HX.271,74,23,0,0,0,0,373528,0,1943-12-15,1943-12-29
HX.272,93,18,1,0,0,0,551899,0,1943-12-22,1944-01-06
HX.273,69,19,0,0,0,0,351333,0,1943-12-29,1944-01-14
HX.274,75,34,0,0,0,0,298644,0,1944-01-06,1944-01-21
HX.275,87,22,0,0,0,0,480164,0,1944-01-13,1944-01-28
HX.276,100,24,0,0,0,0,558524,0,1944-01-22,1944-02-07
HX.277,96,29,0,0,0,0,501898,0,1944-01-28,1944-02-13
HX.278,96,34,0,0,0,0,467130,0,1944-02-05,1944-02-20
HX.279,84,31,0,0,0,0,392815,0,1944-02-13,1944-02-29
HX.280,87,23,0,0,0,0,455859,0,1944-02-20,1944-03-09
HX.281,86,24,0,0,0,0,437968,0,1944-02-27,1944-03-15
HX.282,119,20,0,0,0,0,700869,0,1944-03-06,1944-03-22
