,Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrival/Dispersal Date,Overall Sink Percentage,Escort Sink Percentage,Straggler Sink Percentage
255,OB.80,22.0,2.0,0.0,0.0,0.0,0.0,105585.0,0.0,1940-01-24,1940-01-27,0.0,0.0,0.0
256,OB.81,13.0,2.0,0.0,0.0,0.0,0.0,67482.0,0.0,1940-01-25,1940-01-28,0.0,0.0,0.0
257,OB.82,15.0,2.0,0.0,0.0,0.0,0.0,73336.0,0.0,1940-01-27,0,0.0,0.0,0.0
258,OB.83,20.0,2.0,0.0,0.0,0.0,0.0,90137.0,0.0,1940-01-28,1940-01-31,0.0,0.0,0.0
259,OB.84,23.0,2.0,0.0,0.0,0.0,0.0,131269.0,0.0,1940-01-29,1940-02-02,0.0,0.0,0.0
541,HX.18,48.0,5.0,16.0,2.0,0.0,2.0,259966.0,14813.0,1940-01-31,1940-02-16,4.166666666666670,0.0,12.5
260,OB.85,2.0,0.0,0.0,0.0,0.0,0.0,10648.0,0.0,1940-02-01,0,0.0,0.0,0.0
261,OB.86,23.0,2.0,0.0,0.0,0.0,0.0,123592.0,0.0,1940-02-02,1940-02-05,0.0,0.0,0.0
262,OB.87,12.0,2.0,0.0,0.0,0.0,0.0,57581.0,0.0,1940-02-04,0,0.0,0.0,0.0
264,OB.89,17.0,2.0,0.0,0.0,0.0,0.0,72820.0,0.0,1940-02-07,1940-02-10,0.0,0.0,0.0
263,OB.88,20.0,2.0,0.0,0.0,0.0,0.0,118809.0,0.0,1940-02-07,1940-02-10,0.0,0.0,0.0
542,HX.19,52.0,7.0,0.0,1.0,0.0,0.0,271783.0,4996.0,1940-02-07,1940-02-22,1.9230769230769200,0.0,0.0
265,OB.90,28.0,0.0,0.0,0.0,0.0,0.0,123197.0,0.0,1940-02-09,0,0.0,0.0,0.0
266,OB.91,15.0,2.0,0.0,0.0,0.0,0.0,81643.0,0.0,1940-02-10,1940-02-14,0.0,0.0,0.0
268,OB.93,23.0,0.0,0.0,0.0,0.0,0.0,143579.0,0.0,1940-02-13,1940-02-17,0.0,0.0,0.0
267,OB.92,15.0,2.0,0.0,0.0,0.0,0.0,88200.0,0.0,1940-02-13,0,0.0,0.0,0.0
269,OB.94,24.0,2.0,0.0,0.0,0.0,0.0,134741.0,0.0,1940-02-15,1940-02-18,0.0,0.0,0.0
543,HX.20,63.0,8.0,0.0,0.0,0.0,0.0,319388.0,0.0,1940-02-16,1940-03-04,0.0,0.0,0.0
270,OB.95,24.0,0.0,0.0,0.0,0.0,0.0,121805.0,0.0,1940-02-17,0,0.0,0.0,0.0
271,OB.96,13.0,2.0,0.0,0.0,0.0,0.0,67587.0,0.0,1940-02-18,1940-02-22,0.0,0.0,0.0
544,HX.21,22.0,6.0,4.0,0.0,0.0,0.0,115667.0,0.0,1940-02-18,1940-03-04,0.0,0.0,0.0
272,OB.97,16.0,2.0,0.0,0.0,0.0,0.0,68315.0,0.0,1940-02-21,0,0.0,0.0,0.0
273,OB.98,23.0,2.0,0.0,0.0,0.0,0.0,121555.0,0.0,1940-02-21,1940-02-24,0.0,0.0,0.0
545,HX.22,42.0,8.0,0.0,1.0,0.0,0.0,265253.0,5068.0,1940-02-22,1940-03-09,2.380952380952380,0.0,0.0
274,OB.99,19.0,2.0,0.0,0.0,0.0,0.0,105846.0,0.0,1940-02-23,1940-02-27,0.0,0.0,0.0
275,OB.100,18.0,0.0,0.0,0.0,0.0,0.0,85099.0,0.0,1940-02-24,0,0.0,0.0,0.0
276,OB.101,15.0,2.0,0.0,0.0,0.0,0.0,75695.0,0.0,1940-02-26,1940-03-01,0.0,0.0,0.0
546,HX.23,33.0,5.0,0.0,0.0,0.0,0.0,197288.0,0.0,1940-02-26,1940-03-12,0.0,0.0,0.0
277,OB.102,9.0,2.0,0.0,0.0,0.0,0.0,36256.0,0.0,1940-02-28,0,0.0,0.0,0.0
278,OB.103,30.0,2.0,0.0,0.0,0.0,0.0,147893.0,0.0,1940-02-29,1940-03-03,0.0,0.0,0.0
547,HX.24,48.0,8.0,17.0,0.0,0.0,0.0,276864.0,0.0,1940-03-02,1940-03-17,0.0,0.0,0.0
279,OB.104,24.0,2.0,0.0,0.0,0.0,0.0,141336.0,0.0,1940-03-02,1940-03-06,0.0,0.0,0.0
280,OB.105,17.0,2.0,0.0,0.0,0.0,0.0,56987.0,0.0,1940-03-03,0,0.0,0.0,0.0
548,HX.25,34.0,9.0,4.0,0.0,0.0,0.0,209486.0,0.0,1940-03-05,1940-03-20,0.0,0.0,0.0
281,OB.106,22.0,2.0,0.0,0.0,0.0,0.0,128245.0,0.0,1940-03-05,1940-03-08,0.0,0.0,0.0
283,OB.108,28.0,0.0,0.0,0.0,0.0,0.0,126729.0,0.0,1940-03-08,1940-03-11,0.0,0.0,0.0
282,OB.107,13.0,2.0,0.0,0.0,0.0,0.0,65903.0,0.0,1940-03-09,0,0.0,0.0,0.0
549,HX.26,46.0,8.0,0.0,0.0,0.0,0.0,283729.0,0.0,1940-03-09,1940-03-26,0.0,0.0,0.0
284,OB.109,18.0,2.0,0.0,0.0,0.0,0.0,67647.0,0.0,1940-03-10,1940-03-15,0.0,0.0,0.0
285,OB.110,33.0,2.0,0.0,0.0,0.0,0.0,119753.0,0.0,1940-03-12,0,0.0,0.0,0.0
286,OB.111,18.0,2.0,0.0,0.0,0.0,0.0,84504.0,0.0,1940-03-13,1940-03-16,0.0,0.0,0.0
550,HX.27,38.0,10.0,4.0,0.0,0.0,0.0,176833.0,0.0,1940-03-13,1940-03-28,0.0,0.0,0.0
287,OB.112,15.0,2.0,0.0,0.0,0.0,0.0,73561.0,0.0,1940-03-16,0,0.0,0.0,0.0
288,OB.113,25.0,0.0,0.0,0.0,0.0,0.0,125931.0,0.0,1940-03-16,1940-03-20,0.0,0.0,0.0
551,HX.28,70.0,9.0,1.0,0.0,0.0,0.0,389215.0,0.0,1940-03-18,1940-04-02,0.0,0.0,0.0
289,OB.114,23.0,2.0,0.0,0.0,0.0,0.0,118035.0,0.0,1940-03-18,1940-03-23,0.0,0.0,0.0
290,OB.115,31.0,3.0,0.0,0.0,0.0,0.0,134079.0,0.0,1940-03-19,0,0.0,0.0,0.0
552,HX.29,36.0,6.0,4.0,0.0,0.0,0.0,191479.0,0.0,1940-03-21,1940-04-04,0.0,0.0,0.0
291,OB.116,23.0,3.0,1.0,0.0,0.0,0.0,105914.0,0.0,1940-03-21,1940-03-25,0.0,0.0,0.0
292,OB.118,3.0,0.0,0.0,0.0,0.0,0.0,12276.0,0.0,1940-03-23,0,0.0,0.0,0.0
293,OB.119,23.0,2.0,0.0,0.0,0.0,0.0,119491.0,0.0,1940-03-24,1940-03-27,0.0,0.0,0.0
553,HX.30,47.0,9.0,0.0,0.0,0.0,0.0,280915.0,0.0,1940-03-25,1940-04-09,0.0,0.0,0.0
294,OB.120,45.0,1.0,0.0,0.0,0.0,0.0,240845.0,0.0,1940-03-27,0,0.0,0.0,0.0
554,HX.31,36.0,8.0,1.0,0.0,0.0,0.0,197386.0,0.0,1940-03-29,1940-04-13,0.0,0.0,0.0
295,OB.121,16.0,2.0,0.0,0.0,0.0,0.0,98628.0,0.0,1940-03-29,1940-04-01,0.0,0.0,0.0
296,OB.123,33.0,0.0,0.0,0.0,0.0,0.0,174527.0,0.0,1940-03-31,0,0.0,0.0,0.0
297,OB.124,29.0,2.0,0.0,0.0,0.0,0.0,159081.0,0.0,1940-04-01,1940-04-04,0.0,0.0,0.0
555,HX.32,38.0,8.0,0.0,0.0,0.0,0.0,207106.0,0.0,1940-04-02,1940-04-17,0.0,0.0,0.0
298,OB.125,28.0,1.0,0.0,0.0,0.0,0.0,122887.0,0.0,1940-04-04,0,0.0,0.0,0.0
556,HX.33,44.0,10.0,0.0,0.0,0.0,0.0,245144.0,0.0,1940-04-06,1940-04-20,0.0,0.0,0.0
299,OB.126,19.0,3.0,0.0,0.0,0.0,0.0,88208.0,0.0,1940-04-06,1940-04-10,0.0,0.0,0.0
300,OB.127,19.0,2.0,0.0,0.0,0.0,0.0,106388.0,0.0,1940-04-08,0,0.0,0.0,0.0
301,OB.128,33.0,0.0,0.0,0.0,0.0,0.0,177354.0,0.0,1940-04-09,1940-04-13,0.0,0.0,0.0
302,OB.129,32.0,1.0,0.0,0.0,0.0,0.0,173670.0,0.0,1940-04-10,1940-04-14,0.0,0.0,0.0
557,HX.34,36.0,7.0,5.0,0.0,0.0,0.0,217860.0,0.0,1940-04-10,1940-04-26,0.0,0.0,0.0
303,OB.130,25.0,1.0,0.0,0.0,0.0,0.0,115471.0,0.0,1940-04-13,0,0.0,0.0,0.0
304,OB.131,17.0,1.0,0.0,0.0,0.0,0.0,96500.0,0.0,1940-04-14,1940-04-18,0.0,0.0,0.0
558,HX.35,42.0,6.0,2.0,0.0,0.0,0.0,286224.0,0.0,1940-04-14,1940-04-29,0.0,0.0,0.0
305,OB.132,13.0,1.0,0.0,0.0,0.0,0.0,69117.0,0.0,1940-04-16,0,0.0,0.0,0.0
306,OB.133,38.0,2.0,0.0,0.0,0.0,0.0,202194.0,0.0,1940-04-17,1940-04-21,0.0,0.0,0.0
307,OB.134,28.0,1.0,0.0,0.0,0.0,0.0,142403.0,0.0,1940-04-18,1940-04-22,0.0,0.0,0.0
559,HX.36,28.0,6.0,2.0,0.0,0.0,0.0,156520.0,0.0,1940-04-18,1940-05-03,0.0,0.0,0.0
308,OB.135,34.0,0.0,0.0,0.0,0.0,0.0,155297.0,0.0,1940-04-20,0,0.0,0.0,0.0
309,OB.136,19.0,1.0,0.0,0.0,0.0,0.0,103163.0,0.0,1940-04-22,1940-04-26,0.0,0.0,0.0
560,HX.37,38.0,6.0,3.0,0.0,0.0,0.0,210092.0,0.0,1940-04-22,1940-05-07,0.0,0.0,0.0
310,OB.137,9.0,1.0,0.0,0.0,0.0,0.0,38668.0,0.0,1940-04-24,0,0.0,0.0,0.0
311,OB.138,30.0,1.0,0.0,0.0,0.0,0.0,164039.0,0.0,1940-04-25,1940-04-28,0.0,0.0,0.0
312,OB.139,26.0,1.0,0.0,0.0,0.0,0.0,145556.0,0.0,1940-04-26,1940-04-29,0.0,0.0,0.0
561,HX.38,48.0,7.0,22.0,0.0,0.0,0.0,320678.0,0.0,1940-04-26,1940-05-12,0.0,0.0,0.0
313,OB.140,30.0,1.0,0.0,0.0,0.0,0.0,147308.0,0.0,1940-04-28,0,0.0,0.0,0.0
314,OB.141,17.0,1.0,0.0,0.0,0.0,0.0,86138.0,0.0,1940-04-30,1940-05-03,0.0,0.0,0.0
562,HX.39,53.0,8.0,2.0,0.0,0.0,0.0,298079.0,0.0,1940-04-30,1940-05-15,0.0,0.0,0.0
315,OB.142,15.0,1.0,0.0,0.0,0.0,0.0,86193.0,0.0,1940-05-02,0,0.0,0.0,0.0
316,OB.143,33.0,2.0,0.0,0.0,0.0,0.0,147924.0,0.0,1940-05-03,1940-05-06,0.0,0.0,0.0
563,HX.40,34.0,6.0,0.0,0.0,0.0,0.0,187588.0,0.0,1940-05-04,1940-05-19,0.0,0.0,0.0
317,OB.144,23.0,1.0,0.0,0.0,0.0,0.0,111017.0,0.0,1940-05-04,1940-05-08,0.0,0.0,0.0
318,OB.145,31.0,0.0,0.0,0.0,0.0,0.0,158646.0,0.0,1940-05-06,0,0.0,0.0,0.0
319,OB.146,10.0,1.0,0.0,0.0,0.0,0.0,49548.0,0.0,1940-05-08,1940-05-12,0.0,0.0,0.0
564,HX.41,50.0,6.0,1.0,0.0,0.0,0.0,303909.0,0.0,1940-05-08,1940-05-23,0.0,0.0,0.0
320,OB.147,25.0,1.0,1.0,0.0,0.0,0.0,128443.0,0.0,1940-05-10,0,0.0,0.0,0.0
321,OB.148,9.0,0.0,0.0,0.0,0.0,0.0,57019.0,0.0,1940-05-11,1940-05-13,0.0,0.0,0.0
322,OB.149,22.0,1.0,0.0,0.0,0.0,0.0,109988.0,0.0,1940-05-12,1940-05-14,0.0,0.0,0.0
565,HX.42,53.0,6.0,1.0,0.0,0.0,0.0,334002.0,0.0,1940-05-12,1940-05-28,0.0,0.0,0.0
323,OB.150,26.0,1.0,0.0,0.0,0.0,0.0,124401.0,0.0,1940-05-14,0,0.0,0.0,0.0
324,OB.151,26.0,1.0,0.0,0.0,0.0,0.0,132021.0,0.0,1940-05-16,1940-05-17,0.0,0.0,0.0
566,HX.43,48.0,5.0,3.0,0.0,0.0,0.0,276693.0,0.0,1940-05-16,1940-05-31,0.0,0.0,0.0
325,OB.152,7.0,1.0,0.0,0.0,0.0,0.0,29169.0,0.0,1940-05-18,0,0.0,0.0,0.0
326,OB.153,39.0,2.0,0.0,0.0,0.0,0.0,166674.0,0.0,1940-05-19,1940-05-22,0.0,0.0,0.0
327,OB.154,13.0,1.0,0.0,0.0,0.0,0.0,76700.0,0.0,1940-05-20,1940-05-24,0.0,0.0,0.0
567,HX.44,38.0,5.0,4.0,0.0,0.0,0.0,225717.0,0.0,1940-05-20,1940-06-03,0.0,0.0,0.0
328,OB.155,35.0,2.0,0.0,0.0,0.0,0.0,148894.0,0.0,1940-05-22,0,0.0,0.0,0.0
568,HX.45,71.0,8.0,2.0,0.0,0.0,0.0,422483.0,0.0,1940-05-24,1940-06-08,0.0,0.0,0.0
329,OB.156,12.0,1.0,0.0,0.0,0.0,0.0,66346.0,0.0,1940-05-24,1940-05-28,0.0,0.0,0.0
330,OB.157,10.0,1.0,0.0,0.0,0.0,0.0,51406.0,0.0,1940-05-26,0,0.0,0.0,0.0
331,OB.158,30.0,1.0,0.0,0.0,0.0,0.0,157854.0,0.0,1940-05-27,1940-05-31,0.0,0.0,0.0
332,OB.159,24.0,1.0,0.0,0.0,0.0,0.0,133159.0,0.0,1940-05-28,1940-05-31,0.0,0.0,0.0
569,HX.46,50.0,5.0,3.0,0.0,0.0,0.0,301823.0,0.0,1940-05-28,1940-06-12,0.0,0.0,0.0
333,OB.160,13.0,1.0,0.0,0.0,0.0,0.0,59100.0,0.0,1940-05-30,0,0.0,0.0,0.0
334,OB.161,25.0,0.0,0.0,0.0,0.0,0.0,127023.0,0.0,1940-06-01,1940-06-04,0.0,0.0,0.0
570,HX.47,62.0,4.0,3.0,3.0,0.0,1.0,348796.0,18045.0,1940-06-02,1940-06-17,4.838709677419360,0.0,33.33333333333330
335,OB.162,31.0,1.0,0.0,0.0,0.0,0.0,166272.0,0.0,1940-06-02,1940-06-05,0.0,0.0,0.0
336,OB.163,33.0,1.0,0.0,0.0,0.0,0.0,183062.0,0.0,1940-06-03,0,0.0,0.0,0.0
